
1;INF101;Programmation procédurale;6;14.50;A;1
2;INF104;HTML et Introduction au Web;4;12.75;B;1
3;INF107;Informatique de Base;5;9.50;C;1
4;MTH101;Arithmétique et nombres;5;15.00;A;1
5;MTH102;Analyse mathématique;6;10.25;B;1
6;ORG101;Techniques de communication;3;16.00;A;1
7;INF201;Structures de données;6;11.50;B;1
8;INF204;Programmation orientée objet;5;13.75;A;1
9;MTH201;Algèbre linéaire;5;8.50;C;1
10;INF301;Bases de données;6;14.00;A;1
11;INF201;Programmation Orient?e Objet;6;14.50;A;2
12;INF202;Bases de Donn?es Avanc?es;5;12.00;B;2
13;INF203;D?veloppement Web;4;16.00;A;2
14;MTH201;Alg?bre Lin?aire;5;10.50;C;2
15;MTH202;Statistiques et Probabilit?s;4;13.00;B;2
16;ORG201;Gestion de Projet;3;15.00;A;2
17;PHY201;Physique Appliqu?e;3;9.50;C;2
